pitcher,pitch_type,release_speed,pfx_z,pfx_x,release_spin_rate,spin_axis,release_pos_x,release_pos_z,release_extension,plate_z,plate_x,stand
660271,FC,94.2,0.58,0.21,2465,192,-2.24,5.72,6.5,2.59,0.31,L
660271,FC,94.5,0.52,0.33,2548,180,-2.27,5.8,6.7,2.4,0.07,L
660271,SL,86.3,0.38,1.42,2616,58,-2.28,5.84,6.6,1.55,0.52,R
660271,SL,88.1,0.38,1.48,2653,65,-2.34,5.8,6.6,1.77,2.04,R
660271,SL,88.9,0.34,1.14,2741,70,-2.27,5.79,6.5,1.6,2.86,R
660271,SI,95.7,0.27,-1.23,1953,214,-2.27,5.87,6.5,1.94,-0.97,R
660271,SI,96.4,0.57,-1.35,1962,215,-2.09,5.86,6.6,1.51,-0.27,R
660271,SL,85.9,-0.06,0.91,2519,64,-2.34,5.79,6.4,1.14,0.03,R
660271,FF,99.5,0.76,0.02,2273,213,-2.54,5.77,6.6,3.05,0.09,R
660271,SI,99.6,0.35,-1.41,2095,215,-2.12,5.95,6.6,1.83,-0.11,R
660271,SI,98.9,0.26,-1.58,1975,222,-2.15,5.88,6.5,0.58,-0.92,R
660271,SL,89.1,0.61,1.11,2618,66,-2.2,5.86,6.5,1.23,1.17,R
660271,FF,99.6,1.33,-0.46,2308,212,-2.05,6.13,6.4,2.15,-0.94,R
660271,SL,86.1,0.4,1.16,2432,75,-2.27,5.92,6.9,1.71,0.41,R
660271,FF,95.8,1.18,-0.38,2034,213,-2.08,6.01,6.7,1.84,0.51,R
660271,SL,82.4,0.12,1.66,2571,54,-2.13,5.7,6.7,1.55,0.6,R
660271,SI,97.1,0.71,-1.11,1985,225,-2.18,5.81,6.7,2.34,-1.17,R
660271,SI,96,0.39,-1.34,1922,213,-2.13,5.83,6.6,3.41,0.11,R
660271,SI,97,0.74,-1.3,1954,221,-2.09,5.85,6.6,1.81,-1.13,R
660271,SL,86.3,0.04,1.76,2706,62,-2.28,5.83,6.8,1.71,0.62,R
